Set,No.,Name,Stage,Type,Rarity,Sale Status
,,,,,,
ASR,1,Beedrill V,Pkmn › Basic,{G},Holo Rare V,$0.53
,,,,,,
ASR,2,Hisuian Voltorb,Pkmn › Basic,{G},Common,$0.05
,,,,,,
ASR,3,Hisuian Electrode,Pkmn › Stage 1,{G},Uncommon,$0.05
,,,,,,
ASR,4,Scyther,Pkmn › Basic,{G},Common,$0.05
,,,,,,
ASR,5,Scyther,Pkmn › Basic,{G},Common,$0.04
,,,,,,
ASR,6,Yanma,Pkmn › Basic,{G},Common,$0.05
,,,,,,
ASR,7,Yanmega,Pkmn › Stage 1,{G},Uncommon,$0.04
,,,,,,
ASR,8,Heracross,Pkmn › Basic,{G},Common,$0.05
,,,,,,
ASR,9,Kricketot,Pkmn › Basic,{G},Common,$0.06
,,,,,,
ASR,10,Kricketune,Pkmn › Stage 1,{G},Uncommon,$0.07
,,,,,,
ASR,11,Combee,Pkmn › Basic,{G},Common,$0.03
,,,,,,
ASR,12,Vespiquen,Pkmn › Stage 1,{G},Rare,$0.06
,,,,,,
ASR,13,Leafeon,Pkmn › Stage 1,{G},Rare,$0.17
,,,,,,
ASR,14,Shaymin,Pkmn › Basic,{G},Rare,$0.07
,,,,,,
ASR,15,Petilil,Pkmn › Basic,{G},Common,$0.03
,,,,,,
ASR,16,Hisuian Lilligant,Pkmn › Stage 1,{G},Rare Holo,$0.15
,,,,,,
ASR,17,Hisuian Lilligant V,Pkmn › Basic,{G},Holo Rare V,$0.74
,,,,,,
ASR,18,Hisuian Lilligant VSTAR,Pkmn › VSTAR,{G},Holo Rare VSTAR,$1.86
,,,,,,
ASR,19,Rowlet,Pkmn › Basic,{G},Common,$0.04
,,,,,,
ASR,20,Dartrix,Pkmn › Stage 1,{G},Uncommon,$0.04
,,,,,,
ASR,21,Ponyta,Pkmn › Basic,{R},Common,$0.04
,,,,,,
ASR,22,Rapidash,Pkmn › Stage 1,{R},Rare,$0.09
,,,,,,
ASR,23,Cyndaquil,Pkmn › Basic,{R},Common,$0.04
,,,,,,
ASR,24,Quilava,Pkmn › Stage 1,{R},Uncommon,$0.06
,,,,,,
ASR,25,Heatran V,Pkmn › Basic,{R},Holo Rare V,$0.63
,,,,,,
ASR,26,Heatran VMAX,Pkmn › VMAX,{R},Holo Rare VMAX,$1.37
,,,,,,
ASR,27,Radiant Heatran,Pkmn › Basic,{R},Radiant Rare,$0.34
,,,,,,
ASR,28,Psyduck,Pkmn › Basic,{W},Common,$0.05
,,,,,,
ASR,29,Golduck,Pkmn › Stage 1,{W},Uncommon,$0.05
,,,,,,
ASR,30,Starmie V,Pkmn › Basic,{W},Holo Rare V,$0.55
,,,,,,
ASR,31,Swinub,Pkmn › Basic,{W},Common,$0.05
,,,,,,
ASR,32,Piloswine,Pkmn › Stage 1,{W},Uncommon,$0.07
,,,,,,
ASR,33,Mamoswine,Pkmn › Stage 2,{W},Rare,$0.08
,,,,,,
ASR,34,Mantine,Pkmn › Basic,{W},Common,$0.05
,,,,,,
ASR,35,Barboach,Pkmn › Basic,{W},Common,$0.03
,,,,,,
ASR,36,Whiscash,Pkmn › Stage 1,{W},Uncommon,$0.03
,,,,,,
ASR,37,Regice,Pkmn › Basic,{W},Rare,$0.10
,,,,,,
ASR,38,Glaceon,Pkmn › Stage 1,{W},Rare,$0.15
,,,,,,
ASR,39,Origin Forme Palkia V,Pkmn › Basic,{W},Holo Rare V,$0.71
,,,,,,
ASR,40,Origin Forme Palkia VSTAR,Pkmn › VSTAR,{W},Holo Rare VSTAR,$1.36
,,,,,,
ASR,41,Oshawott,Pkmn › Basic,{W},Common,$0.04
,,,,,,
ASR,42,Dewott,Pkmn › Stage 1,{W},Uncommon,$0.07
,,,,,,
ASR,43,Hisuian Basculin,Pkmn › Basic,{W},Common,$0.05
,,,,,,
ASR,44,Hisuian Basculegion,Pkmn › Stage 1,{W},Rare,$0.07
,,,,,,
ASR,45,Keldeo,Pkmn › Basic,{W},Rare Holo,$0.20
,,,,,,
ASR,46,Radiant Greninja,Pkmn › Basic,{W},Radiant Rare,$6.24
,,,,,,
ASR,47,Bergmite,Pkmn › Basic,{W},Common,$0.02
,,,,,,
ASR,48,Hisuian Avalugg,Pkmn › Stage 1,{W},Rare,$0.10
,,,,,,
ASR,49,Galarian Mr. Rime V,Pkmn › Basic,{W},Holo Rare V,$0.48
,,,,,,
ASR,50,Luxray V,Pkmn › Basic,{L},Holo Rare V,$1.01
,,,,,,
ASR,51,Regieleki,Pkmn › Basic,{L},Rare,$0.11
,,,,,,
ASR,52,Hisuian Typhlosion,Pkmn › Stage 2,{P},Rare Holo,$0.25
,,,,,,
ASR,53,Hisuian Typhlosion V,Pkmn › Basic,{P},Holo Rare V,$0.64
,,,,,,
ASR,54,Hisuian Typhlosion VSTAR,Pkmn › VSTAR,{P},Holo Rare VSTAR,$1.31
,,,,,,
ASR,55,Togepi,Pkmn › Basic,{P},Common,$0.05
,,,,,,
ASR,56,Togetic,Pkmn › Stage 1,{P},Uncommon,$0.08
,,,,,,
ASR,57,Togekiss,Pkmn › Stage 2,{P},Rare Holo,$0.19
,,,,,,
ASR,58,Misdreavus,Pkmn › Basic,{P},Common,$0.02
,,,,,,
ASR,59,Mismagius,Pkmn › Stage 1,{P},Rare,$0.07
,,,,,,
ASR,60,Ralts,Pkmn › Basic,{P},Common,$0.12
,,,,,,
ASR,61,Kirlia,Pkmn › Stage 1,{P},Uncommon,$0.02
,,,,,,
ASR,62,Gallade,Pkmn › Stage 2,{P},Rare Holo,$0.49
,,,,,,
ASR,63,Drifloon,Pkmn › Basic,{P},Common,$0.05
,,,,,,
ASR,64,Drifblim,Pkmn › Stage 1,{P},Uncommon,$0.03
,,,,,,
