Set,No.,Name,Stage,Type,Rarity,Sale Status
RE,001,Weedle,Pkmn › Basic,{G},Common,$0.04
CRE,002,Kakuna,Pkmn › Stage 1,{G},Uncommon,$0.12
CRE,003,Beedrill,Pkmn › Stage 2,{G},Rare Holo,$0.19
CRE,004,Ledyba,Pkmn › Basic,{G},Common,$0.05
CRE,005,Ledian,Pkmn › Stage 1,{G},Uncommon,$0.07
CRE,006,Heracross,Pkmn › Basic,{G},Common,$0.04
CRE,007,Celebi V,Pkmn › Basic,{G},Holo Rare V,$0.61
CRE,008,Celebi VMAX,Pkmn › VMAX,{G},Holo Rare VMAX,$1.70
CRE,009,Snover,Pkmn › Basic,{G},Common,$0.02
CRE,010,Abomasnow,Pkmn › Stage 1,{G},Rare,$0.06
CRE,011,Deerling,Pkmn › Basic,{G},Common,$0.06
CRE,012,Sawsbuck,Pkmn › Stage 1,{G},Rare,$0.09
CRE,013,Bounsweet,Pkmn › Basic,{G},Common,$0.03
CRE,014,Steenee,Pkmn › Stage 1,{G},Uncommon,$0.04
CRE,015,Tsareena,Pkmn › Stage 2,{G},Rare,$0.06
CRE,016,Grookey,Pkmn › Basic,{G},Common,$0.04
CRE,017,Thwackey,Pkmn › Stage 1,{G},Uncommon,$0.03
CRE,018,Rillaboom,Pkmn › Stage 2,{G},Rare Holo,$0.16
CRE,019,Zarude,Pkmn › Basic,{G},Rare Holo,$0.20
CRE,020,Blaziken V,Pkmn › Basic,{R},Holo Rare V,$0.69
CRE,021,Blaziken VMAX,Pkmn › VMAX,{R},Holo Rare VMAX,$1.58
CRE,022,Castform Sunny Form,Pkmn › Basic,{R},Common,$0.07
CRE,023,Larvesta,Pkmn › Basic,{R},Common,$0.04
CRE,024,Volcarona,Pkmn › Stage 1,{R},Rare,$0.04
CRE,025,Volcanion V,Pkmn › Basic,{R},Holo Rare V,$0.62
CRE,026,Scorbunny,Pkmn › Basic,{R},Common,$0.06
CRE,027,Raboot,Pkmn › Stage 1,{R},Uncommon,$0.06
CRE,028,Cinderace,Pkmn › Stage 2,{R},Rare Holo,$0.18
CRE,029,Lapras,Pkmn › Basic,{W},Common,$0.04
CRE,030,Sneasel,Pkmn › Basic,{W},Common,$0.02
CRE,031,Weavile,Pkmn › Stage 1,{W},Rare Holo,$0.17
CRE,032,Delibird,Pkmn › Basic,{W},Common,$0.03
CRE,033,Castform Rainy Form,Pkmn › Basic,{W},Common,$0.08
CRE,034,Castform Snowy Form,Pkmn › Basic,{W},Common,$0.06
CRE,035,Snorunt,Pkmn › Basic,{W},Common,$0.10
CRE,036,Froslass,Pkmn › Stage 1,{W},Rare Holo,$0.15
CRE,037,Spheal,Pkmn › Basic,{W},Common,$0.05
CRE,038,Sealeo,Pkmn › Stage 1,{W},Uncommon,$0.04
CRE,039,Walrein,Pkmn › Stage 2,{W},Rare,$0.07
CRE,040,Tapu Fini,Pkmn › Basic,{W},Rare Holo,$0.25
CRE,041,Sobble,Pkmn › Basic,{W},Common,$0.04
CRE,042,Drizzile,Pkmn › Stage 1,{W},Uncommon,$0.12
CRE,043,Inteleon,Pkmn › Stage 2,{W},Rare Holo,$0.19
CRE,044,Rapid Strike Urshifu,Pkmn › Stage 1,{W},Rare Holo,$0.18
CRE,045,Ice Rider Calyrex V,Pkmn › Basic,{W},Holo Rare V,$0.47
CRE,046,Ice Rider Calyrex VMAX,Pkmn › VMAX,{W},Holo Rare VMAX,$0.99
CRE,047,Mareep,Pkmn › Basic,{L},Common,$0.04
CRE,048,Flaaffy,Pkmn › Stage 1,{L},Uncommon,$0.04
CRE,049,Ampharos,Pkmn › Stage 2,{L},Rare,$0.08
CRE,050,Blitzle,Pkmn › Basic,{L},Common,$0.03
CRE,051,Zebstrika,Pkmn › Stage 1,{L},Rare,$0.05
CRE,052,Thundurus,Pkmn › Basic,{L},Rare Holo,$0.15
CRE,053,Zeraora V,Pkmn › Basic,{L},Holo Rare V,$0.56
CRE,054,Galarian Slowpoke,Pkmn › Basic,{P},Common,$0.05
CRE,055,Gastly,Pkmn › Basic,{P},Common,$0.05
CRE,056,Haunter,Pkmn › Stage 1,{P},Uncommon,$0.07
CRE,057,Gengar,Pkmn › Stage 2,{P},Rare Holo,$0.42
CRE,058,Galarian Articuno V,Pkmn › Basic,{P},Holo Rare V,$0.65
CRE,059,Ralts,Pkmn › Basic,{P},Common,$0.04
CRE,060,Kirlia,Pkmn › Stage 1,{P},Uncommon,$0.08
CRE,061,Gardevoir,Pkmn › Stage 2,{P},Rare Holo,$1.92
CRE,062,Shuppet,Pkmn › Basic,{P},Common,$0.03
CRE,063,Banette,Pkmn › Stage 1,{P},Rare,$0.06
CRE,064,Cresselia,Pkmn › Basic,{P},Rare Holo,$0.23
CRE,065,Golett,Pkmn › Basic,{P},Common,$0.10
