Set,No.,Name,Stage,Type,Rarity,Sale Status
RZ,001,Oddish,Pkmn › Basic,{G},Common,$0.04
CRZ,002,Gloom,Pkmn › Stage 1,{G},Uncommon,$0.04
CRZ,003,Bellossom,Pkmn › Stage 2,{G},Rare,$0.09
CRZ,004,Tangela,Pkmn › Basic,{G},Common,$0.05
CRZ,005,Tangrowth,Pkmn › Stage 1,{G},Rare,$0.08
CRZ,006,Scyther,Pkmn › Basic,{G},Common,$0.06
CRZ,007,Sunkern,Pkmn › Basic,{G},Common,$0.03
CRZ,008,Yanma,Pkmn › Basic,{G},Common,$0.03
CRZ,009,Yanmega,Pkmn › Stage 1,{G},Rare,$0.09
CRZ,010,Kricketot,Pkmn › Basic,{G},Common,$0.02
CRZ,011,Cherubi,Pkmn › Basic,{G},Common,$0.03
CRZ,012,Carnivine,Pkmn › Basic,{G},Uncommon,$0.04
CRZ,013,Leafeon V,Pkmn › Basic,{G},Holo Rare V,$0.90
CRZ,014,Leafeon VSTAR,Pkmn › VSTAR,{G},Holo Rare VSTAR,$1.57
CRZ,015,Grubbin,Pkmn › Basic,{G},Common,$0.03
CRZ,016,Zarude,Pkmn › Basic,{G},Rare Holo,$0.20
CRZ,017,Calyrex,Pkmn › Basic,{G},Rare Holo,$0.28
CRZ,018,Charizard V,Pkmn › Basic,{R},Holo Rare V,$2.58
CRZ,019,Charizard VSTAR,Pkmn › VSTAR,{R},Holo Rare VSTAR,$5.17
CRZ,020,Radiant Charizard,Pkmn › Basic,{R},Radiant Rare,$5.24
CRZ,021,Entei,Pkmn › Basic,{R},Rare Holo,$0.25
CRZ,022,Simisear V,Pkmn › Basic,{R},Holo Rare V,$0.52
CRZ,023,Simisear VSTAR,Pkmn › VSTAR,{R},Holo Rare VSTAR,$0.81
CRZ,024,Larvesta,Pkmn › Basic,{R},Common,$0.03
CRZ,025,Volcarona,Pkmn › Stage 1,{R},Rare,$0.07
CRZ,026,Volcanion,Pkmn › Basic,{R},Rare Holo,$0.22
CRZ,027,Salandit,Pkmn › Basic,{R},Common,$0.05
CRZ,028,Salazzle,Pkmn › Stage 1,{R},Uncommon,$0.04
CRZ,029,Seel,Pkmn › Basic,{W},Common,$0.03
CRZ,030,Galarian Mr. Mime,Pkmn › Basic,{W},Common,$0.03
CRZ,031,Wailmer,Pkmn › Basic,{W},Common,$0.05
CRZ,032,Wailord,Pkmn › Stage 1,{W},Rare,$0.09
CRZ,033,Corphish,Pkmn › Basic,{W},Common,$0.03
CRZ,034,Snorunt,Pkmn › Basic,{W},Common,$0.04
CRZ,035,Luvdisc,Pkmn › Basic,{W},Common,$0.02
CRZ,036,Kyogre,Pkmn › Basic,{W},Rare Holo,$0.63
CRZ,037,Kyogre V,Pkmn › Basic,{W},Holo Rare V,$0.81
CRZ,038,Glaceon V,Pkmn › Basic,{W},Holo Rare V,$0.82
CRZ,039,Shinx,Pkmn › Basic,{L},Common,$0.04
CRZ,040,Shinx,Pkmn › Basic,{L},Common,$0.03
CRZ,041,Luxio,Pkmn › Stage 1,{L},Uncommon,$0.05
CRZ,042,Luxio,Pkmn › Stage 1,{L},Uncommon,$0.04
CRZ,043,Luxray,Pkmn › Stage 2,{L},Rare,$0.10
CRZ,044,Luxray,Pkmn › Stage 2,{L},Rare,$0.12
CRZ,045,Rotom V,Pkmn › Basic,{L},Holo Rare V,$0.93
CRZ,046,Rotom VSTAR,Pkmn › VSTAR,{L},Holo Rare VSTAR,$0.97
CRZ,047,Emolga,Pkmn › Basic,{L},Common,$0.04
CRZ,048,Eelektrik,Pkmn › Stage 1,{L},Uncommon,$0.03
CRZ,049,Helioptile,Pkmn › Basic,{L},Common,$0.03
CRZ,050,Heliolisk,Pkmn › Stage 1,{L},Rare,$0.08
CRZ,051,Radiant Charjabug,Pkmn › Basic,{L},Radiant Rare,$0.34
CRZ,052,Zeraora,Pkmn › Basic,{L},Rare,$0.07
CRZ,053,Zeraora V,Pkmn › Basic,{L},Holo Rare V,$0.64
CRZ,054,Zeraora VMAX,Pkmn › VMAX,{L},Holo Rare VMAX,$1.59
CRZ,055,Zeraora VSTAR,Pkmn › VSTAR,{L},Holo Rare VSTAR,$1.34
CRZ,056,Pincurchin,Pkmn › Basic,{L},Uncommon,$0.03
