Set,No.,Name,Stage,Type,Rarity,Sale Status
VS,001,Pinsir,Pkmn › Basic,{G},Rare,$0.07
EVS,002,Hoppip,Pkmn › Basic,{G},Common,$0.04
EVS,003,Skiploom,Pkmn › Stage 1,{G},Uncommon,$0.04
EVS,004,Jumpluff,Pkmn › Stage 2,{G},Rare Holo,$0.19
EVS,005,Seedot,Pkmn › Basic,{G},Common,$0.03
EVS,006,Tropius,Pkmn › Basic,{G},Rare,$0.06
EVS,007,Leafeon V,Pkmn › Basic,{G},Holo Rare V,$1.40
EVS,008,Leafeon VMAX,Pkmn › VMAX,{G},Holo Rare VMAX,$2.52
EVS,009,Petilil,Pkmn › Basic,{G},Common,$0.03
EVS,010,Lilligant,Pkmn › Stage 1,{G},Rare,$0.09
EVS,011,Dwebble,Pkmn › Basic,{G},Common,$0.07
EVS,012,Crustle,Pkmn › Stage 1,{G},Uncommon,$0.03
EVS,013,Trevenant V,Pkmn › Basic,{G},Holo Rare V,$0.50
EVS,014,Trevenant VMAX,Pkmn › VMAX,{G},Holo Rare VMAX,$0.98
EVS,015,Gossifleur,Pkmn › Basic,{G},Common,$0.03
EVS,016,Eldegoss,Pkmn › Stage 1,{G},Rare Holo,$0.22
EVS,017,Applin,Pkmn › Basic,{G},Common,$0.02
EVS,018,Flareon VMAX,Pkmn › VMAX,{R},Holo Rare VMAX,$3.88
EVS,019,Entei,Pkmn › Basic,{R},Rare Holo,$0.18
EVS,020,Victini,Pkmn › Basic,{R},Rare Holo,$0.25
EVS,021,Volcarona V,Pkmn › Basic,{R},Holo Rare V,$0.87
EVS,022,Litleo,Pkmn › Basic,{R},Common,$0.04
EVS,023,Pyroar,Pkmn › Stage 1,{R},Uncommon,$0.05
EVS,024,Psyduck,Pkmn › Basic,{W},Common,$0.05
EVS,025,Golduck,Pkmn › Stage 1,{W},Uncommon,$0.03
EVS,026,Tentacool,Pkmn › Basic,{W},Common,$0.04
EVS,027,Tentacruel,Pkmn › Stage 1,{W},Uncommon,$0.04
EVS,028,Gyarados V,Pkmn › Basic,{W},Holo Rare V,$1.13
EVS,029,Gyarados VMAX,Pkmn › VMAX,{W},Holo Rare VMAX,$3.55
EVS,030,Vaporeon VMAX,Pkmn › VMAX,{W},Holo Rare VMAX,$3.46
EVS,031,Suicune V,Pkmn › Basic,{W},Holo Rare V,$1.14
EVS,032,Lotad,Pkmn › Basic,{W},Common,$0.03
EVS,033,Lombre,Pkmn › Stage 1,{W},Uncommon,$0.03
EVS,034,Ludicolo,Pkmn › Stage 2,{W},Rare Holo,$0.19
EVS,035,Carvanha,Pkmn › Basic,{W},Common,$0.04
EVS,036,Sharpedo,Pkmn › Stage 1,{W},Rare,$0.08
EVS,037,Feebas,Pkmn › Basic,{W},Common,$0.04
EVS,038,Milotic,Pkmn › Stage 1,{W},Rare,$0.12
EVS,039,Luvdisc,Pkmn › Basic,{W},Common,$0.04
EVS,040,Glaceon V,Pkmn › Basic,{W},Holo Rare V,$0.99
EVS,041,Glaceon VMAX,Pkmn › VMAX,{W},Holo Rare VMAX,$1.99
EVS,042,Tympole,Pkmn › Basic,{W},Common,$0.04
EVS,043,Cryogonal,Pkmn › Basic,{W},Common,$0.02
EVS,044,Bergmite,Pkmn › Basic,{W},Common,$0.03
EVS,045,Avalugg,Pkmn › Stage 1,{W},Uncommon,$0.04
EVS,046,Wishiwashi,Pkmn › Basic,{W},Rare,$0.08
EVS,047,Eiscue,Pkmn › Basic,{W},Uncommon,$0.04
EVS,048,Arctovish V,Pkmn › Basic,{W},Holo Rare V,$0.50
EVS,049,Pikachu,Pkmn › Basic,{L},Common,$0.08
EVS,050,Raichu,Pkmn › Stage 1,{L},Rare Holo,$0.18
EVS,051,Jolteon VMAX,Pkmn › VMAX,{L},Holo Rare VMAX,$3.18
EVS,052,Chinchou,Pkmn › Basic,{L},Common,$0.03
EVS,053,Lanturn,Pkmn › Stage 1,{L},Uncommon,$0.04
EVS,054,Mareep,Pkmn › Basic,{L},Common,$0.05
EVS,055,Flaaffy,Pkmn › Stage 1,{L},Uncommon,$0.15
EVS,056,Ampharos,Pkmn › Stage 2,{L},Rare,$0.08
EVS,057,Emolga,Pkmn › Basic,{L},Common,$0.10
EVS,058,Dracozolt V,Pkmn › Basic,{L},Holo Rare V,$0.63
EVS,059,Dracozolt VMAX,Pkmn › VMAX,{L},Holo Rare VMAX,$1.51
EVS,060,Regieleki,Pkmn › Basic,{L},Rare Holo,$0.18
EVS,061,Drowzee,Pkmn › Basic,{P},Common,$0.08
EVS,062,Hypno,Pkmn › Stage 1,{P},Uncommon,$0.03
EVS,063,Galarian Articuno,Pkmn › Basic,{P},Rare Holo,$0.17
EVS,064,Espeon V,Pkmn › Basic,{P},Holo Rare V,$0.95
EVS,065,Espeon VMAX,Pkmn › VMAX,{P},Holo Rare VMAX,$3.74
EVS,066,Wobbuffet,Pkmn › Basic,{P},Common,$0.08
EVS,067,Sableye,Pkmn › Basic,{P},Common,$0.04
EVS,068,Woobat,Pkmn › Basic,{P},Common,$0.08
EVS,069,Swoobat,Pkmn › Stage 1,{P},Uncommon,$0.04
EVS,070,Golurk V,Pkmn › Basic,{P},Holo Rare V,$0.47
EVS,071,Flabébé,Pkmn › Basic,{P},Common,$0.07
EVS,072,Floette,Pkmn › Stage 1,{P},Uncommon,$0.03
EVS,073,Florges,Pkmn › Stage 2,{P},Rare Holo,$0.15
EVS,074,Sylveon V,Pkmn › Basic,{P},Holo Rare V,$1.04
EVS,075,Sylveon VMAX,Pkmn › VMAX,{P},Holo Rare VMAX,$3.28
EVS,076,Pumpkaboo,Pkmn › Basic,{P},Common,$0.05
EVS,077,Gourgeist,Pkmn › Stage 1,{P},Rare,$0.07
EVS,078,Cutiefly,Pkmn › Basic,{P},Common,$0.05
EVS,079,Ribombee,Pkmn › Stage 1,{P},Uncommon,$0.04
EVS,080,Marshadow,Pkmn › Basic,{P},Rare Holo,$0.18
EVS,081,Hitmonchan,Pkmn › Basic,{F},Common,$0.04
EVS,082,Galarian Zapdos,Pkmn › Basic,{F},Rare Holo,$0.21
EVS,083,Medicham V,Pkmn › Basic,{F},Holo Rare V,$0.72
EVS,084,Hippopotas,Pkmn › Basic,{F},Common,$0.04
EVS,085,Hippowdon,Pkmn › Stage 1,{F},Uncommon,$0.05
EVS,086,Roggenrola,Pkmn › Basic,{F},Common,$0.03
EVS,087,Boldore,Pkmn › Stage 1,{F},Uncommon,$0.10
EVS,088,Gigalith,Pkmn › Stage 2,{F},Rare,$0.12
EVS,089,Palpitoad,Pkmn › Stage 1,{F},Uncommon,$0.08
EVS,090,Seismitoad,Pkmn › Stage 2,{F},Rare,$0.06
EVS,091,Lycanroc V,Pkmn › Basic,{F},Holo Rare V,$0.55
EVS,092,Lycanroc VMAX,Pkmn › VMAX,{F},Holo Rare VMAX,$1.23
EVS,093,Galarian Moltres,Pkmn › Basic,{D},Rare Holo,$0.26
EVS,094,Umbreon V,Pkmn › Basic,{D},Holo Rare V,$1.13
EVS,095,Umbreon VMAX,Pkmn › VMAX,{D},Holo Rare VMAX,$5.05
EVS,096,Nuzleaf,Pkmn › Stage 1,{D},Uncommon,$0.03
EVS,097,Shiftry,Pkmn › Stage 2,{D},Rare,$0.06
EVS,098,Scraggy,Pkmn › Basic,{D},Common,$0.08
EVS,099,Scrafty,Pkmn › Stage 1,{D},Uncommon,$0.06
EVS,100,Garbodor V,Pkmn › Basic,{D},Holo Rare V,$0.51
EVS,101,Garbodor VMAX,Pkmn › VMAX,{D},Holo Rare VMAX,$1.05
EVS,102,Zorua,Pkmn › Basic,{D},Common,$0.10
EVS,103,Zoroark,Pkmn › Stage 1,{D},Rare Holo,$0.35
EVS,104,Nickit,Pkmn › Basic,{D},Common,$0.02
EVS,105,Thievul,Pkmn › Stage 1,{D},Rare,$0.05
EVS,106,Altaria,Pkmn › Stage 1,{N},Rare,$0.07
EVS,107,Bagon,Pkmn › Basic,{N},Common,$0.04
EVS,108,Shelgon,Pkmn › Stage 1,{N},Uncommon,$0.05
EVS,109,Salamence,Pkmn › Stage 2,{N},Rare Holo,$0.28
EVS,110,Rayquaza V,Pkmn › Basic,{N},Holo Rare V,$0.76
EVS,111,Rayquaza VMAX,Pkmn › VMAX,{N},Holo Rare VMAX,$3.45
EVS,112,Dialga,Pkmn › Basic,{N},Rare Holo,$0.17
EVS,113,Deino,Pkmn › Basic,{N},Common,$0.03
EVS,114,Zweilous,Pkmn › Stage 1,{N},Uncommon,$0.03
