Set,No.,Name,Stage,Type,Rarity,Sale Status
ST,001,Caterpie,Pkmn › Basic,{G},Common,$0.05
FST,002,Metapod,Pkmn › Stage 1,{G},Uncommon,$0.06
FST,003,Butterfree,Pkmn › Stage 2,{G},Rare Holo,$0.20
FST,004,Shroomish,Pkmn › Basic,{G},Common,$0.04
FST,005,Breloom,Pkmn › Stage 1,{G},Uncommon,$0.04
FST,006,Breloom V,Pkmn › Basic,{G},Holo Rare V,$0.44
FST,007,Pansage,Pkmn › Basic,{G},Common,$0.03
FST,008,Simisage,Pkmn › Stage 1,{G},Uncommon,$0.04
FST,009,Sewaddle,Pkmn › Basic,{G},Common,$0.05
FST,010,Swadloon,Pkmn › Stage 1,{G},Uncommon,$0.07
FST,011,Leavanny,Pkmn › Stage 2,{G},Rare,$0.13
FST,012,Maractus,Pkmn › Basic,{G},Rare,$0.07
FST,013,Shelmet,Pkmn › Basic,{G},Common,$0.04
FST,014,Accelgor,Pkmn › Stage 1,{G},Rare,$0.07
FST,015,Virizion,Pkmn › Basic,{G},Rare,$0.09
FST,016,Phantump,Pkmn › Basic,{G},Common,$0.03
FST,017,Trevenant,Pkmn › Stage 1,{G},Uncommon,$0.05
FST,018,Grubbin,Pkmn › Basic,{G},Common,$0.04
FST,019,Dewpider,Pkmn › Basic,{G},Common,$0.04
FST,020,Araquanid,Pkmn › Stage 1,{G},Rare,$0.12
FST,021,Tsareena V,Pkmn › Basic,{G},Holo Rare V,$0.51
FST,022,Rillaboom V,Pkmn › Basic,{G},Holo Rare V,$0.48
FST,023,Rillaboom VMAX,Pkmn › VMAX,{G},Holo Rare VMAX,$1.18
FST,024,Gossifleur,Pkmn › Basic,{G},Common,$0.03
FST,025,Eldegoss,Pkmn › Stage 1,{G},Uncommon,$0.03
FST,026,Appletun V,Pkmn › Basic,{G},Holo Rare V,$0.49
FST,027,Zarude,Pkmn › Basic,{G},Uncommon,$0.04
FST,028,Vulpix,Pkmn › Basic,{R},Common,$0.06
FST,029,Vulpix,Pkmn › Basic,{R},Common,$0.06
FST,030,Ninetales,Pkmn › Stage 1,{R},Uncommon,$0.08
FST,031,Ninetales,Pkmn › Stage 1,{R},Uncommon,$0.13
FST,032,Growlithe,Pkmn › Basic,{R},Common,$0.05
FST,033,Arcanine,Pkmn › Stage 1,{R},Rare,$0.12
FST,034,Slugma,Pkmn › Basic,{R},Common,$0.08
FST,035,Magcargo,Pkmn › Stage 1,{R},Uncommon,$0.03
FST,036,Victini,Pkmn › Basic,{R},Uncommon,$0.04
FST,037,Pansear,Pkmn › Basic,{R},Common,$0.02
FST,038,Simisear,Pkmn › Stage 1,{R},Uncommon,$0.03
FST,039,Chandelure V,Pkmn › Basic,{R},Holo Rare V,$0.39
FST,040,Chandelure VMAX,Pkmn › VMAX,{R},Holo Rare VMAX,$1.14
FST,041,Heatmor,Pkmn › Basic,{R},Uncommon,$0.07
FST,042,Oricorio,Pkmn › Basic,{R},Rare,$0.08
FST,043,Cinderace V,Pkmn › Basic,{R},Holo Rare V,$0.42
FST,044,Cinderace V,Pkmn › Basic,{R},Holo Rare V,$0.44
FST,045,Cinderace VMAX,Pkmn › VMAX,{R},Holo Rare VMAX,$1.61
FST,046,Sizzlipede,Pkmn › Basic,{R},Common,$0.03
FST,047,Sizzlipede,Pkmn › Basic,{R},Common,$0.03
FST,048,Centiskorch,Pkmn › Stage 1,{R},Rare,$0.06
FST,049,Centiskorch,Pkmn › Stage 1,{R},Uncommon,$0.05
FST,050,Shellder,Pkmn › Basic,{W},Common,$0.04
FST,051,Cloyster,Pkmn › Stage 1,{W},Rare,$0.13
FST,052,Staryu,Pkmn › Basic,{W},Common,$0.08
FST,053,Starmie,Pkmn › Stage 1,{W},Rare Holo,$0.25
FST,054,Lapras,Pkmn › Basic,{W},Uncommon,$0.07
FST,055,Totodile,Pkmn › Basic,{W},Common,$0.06
FST,056,Croconaw,Pkmn › Stage 1,{W},Uncommon,$0.07
FST,057,Feraligatr,Pkmn › Stage 2,{W},Rare Holo,$0.25
FST,058,Marill,Pkmn › Basic,{W},Common,$0.03
FST,059,Azumarill,Pkmn › Stage 1,{W},Rare,$0.11
FST,060,Qwilfish,Pkmn › Basic,{W},Common,$0.03
FST,061,Mantine,Pkmn › Basic,{W},Common,$0.05
FST,062,Mudkip,Pkmn › Basic,{W},Common,$0.05
FST,063,Marshtomp,Pkmn › Stage 1,{W},Uncommon,$0.06
FST,064,Swampert,Pkmn › Stage 2,{W},Rare Holo,$0.22
FST,065,Clamperl,Pkmn › Basic,{W},Common,$0.03
FST,066,Huntail,Pkmn › Stage 1,{W},Rare,$0.11
FST,067,Gorebyss,Pkmn › Stage 1,{W},Rare,$0.11
FST,068,Panpour,Pkmn › Basic,{W},Common,$0.16
FST,069,Simipour,Pkmn › Stage 1,{W},Uncommon,$0.04
FST,070,Basculin,Pkmn › Basic,{W},Common,$0.03
FST,071,Galarian Darumaka,Pkmn › Basic,{W},Common,$0.03
FST,072,Galarian Darmanitan,Pkmn › Stage 1,{W},Uncommon,$0.05
FST,073,Greninja V,Pkmn › Basic,{W},Holo Rare V,$1.28
FST,074,Clauncher,Pkmn › Basic,{W},Common,$0.03
FST,075,Clawitzer,Pkmn › Stage 1,{W},Uncommon,$0.04
FST,076,Crabominable V,Pkmn › Basic,{W},Holo Rare V,$0.56
FST,077,Pyukumuku,Pkmn › Basic,{W},Uncommon,$0.08
FST,078,Inteleon V,Pkmn › Basic,{W},Holo Rare V,$0.86
FST,079,Inteleon VMAX,Pkmn › VMAX,{W},Holo Rare VMAX,$1.22
FST,080,Chewtle,Pkmn › Basic,{W},Common,$0.03
FST,081,Drednaw,Pkmn › Stage 1,{W},Uncommon,$0.05
FST,082,Arrokuda,Pkmn › Basic,{W},Common,$0.04
FST,083,Barraskewda,Pkmn › Stage 1,{W},Uncommon,$0.05
FST,084,Snom,Pkmn › Basic,{W},Common,$0.05
FST,085,Frosmoth,Pkmn › Stage 1,{W},Uncommon,$0.05
FST,086,Pikachu V,Pkmn › Basic,{L},Holo Rare V,$0.60
FST,087,Voltorb,Pkmn › Basic,{L},Common,$0.04
FST,088,Electrode,Pkmn › Stage 1,{L},Rare,$0.08
FST,089,Plusle,Pkmn › Basic,{L},Common,$0.04
FST,090,Minun,Pkmn › Basic,{L},Common,$0.05
FST,091,Shinx,Pkmn › Basic,{L},Common,$0.02
FST,092,Luxio,Pkmn › Stage 1,{L},Uncommon,$0.06
FST,093,Luxray,Pkmn › Stage 2,{L},Rare,$0.08
FST,094,Rotom,Pkmn › Basic,{L},Common,$0.04
FST,095,Tynamo,Pkmn › Basic,{L},Common,$0.05
FST,096,Eelektrik,Pkmn › Stage 1,{L},Uncommon,$0.03
