Set,No.,Name,Stage,Type,Rarity,Sale Status
OR,001,Oddish,Pkmn › Basic,{G},Common,$0.03
LOR,002,Gloom,Pkmn › Stage 1,{G},Uncommon,$0.04
LOR,003,Vileplume,Pkmn › Stage 2,{G},Rare Holo,$0.20
LOR,004,Paras,Pkmn › Basic,{G},Common,$0.05
LOR,005,Parasect,Pkmn › Stage 1,{G},Rare,$0.10
LOR,006,Wurmple,Pkmn › Basic,{G},Common,$0.05
LOR,007,Silcoon,Pkmn › Stage 1,{G},Uncommon,$0.07
LOR,008,Beautifly,Pkmn › Stage 2,{G},Rare Holo,$0.20
LOR,009,Cascoon,Pkmn › Stage 1,{G},Uncommon,$0.06
LOR,010,Dustox,Pkmn › Stage 2,{G},Rare,$0.07
LOR,011,Seedot,Pkmn › Basic,{G},Common,$0.07
LOR,012,Nuzleaf,Pkmn › Stage 1,{G},Uncommon,$0.03
LOR,013,Shiftry,Pkmn › Stage 2,{G},Rare Holo,$0.16
LOR,014,Roselia,Pkmn › Basic,{G},Common,$0.05
LOR,015,Roserade,Pkmn › Stage 1,{G},Uncommon,$0.04
LOR,016,Phantump,Pkmn › Basic,{G},Common,$0.02
LOR,017,Trevenant,Pkmn › Stage 1,{G},Rare Holo,$0.18
LOR,018,Blipbug,Pkmn › Basic,{G},Common,$0.03
LOR,019,Dottler,Pkmn › Stage 1,{G},Uncommon,$0.04
LOR,020,Orbeetle,Pkmn › Stage 2,{G},Rare Holo,$0.16
LOR,021,Slugma,Pkmn › Basic,{R},Common,$0.03
LOR,022,Magcargo,Pkmn › Stage 1,{R},Rare,$0.08
LOR,023,Torkoal,Pkmn › Basic,{R},Uncommon,$0.04
LOR,024,Litwick,Pkmn › Basic,{R},Common,$0.04
LOR,025,Lampent,Pkmn › Stage 1,{R},Uncommon,$0.02
LOR,026,Chandelure,Pkmn › Stage 2,{R},Rare Holo,$0.17
LOR,027,Delphox V,Pkmn › Basic,{R},Holo Rare V,$0.59
LOR,028,Litleo,Pkmn › Basic,{R},Common,$0.03
LOR,029,Pyroar,Pkmn › Stage 1,{R},Rare Holo,$0.16
LOR,030,Poliwag,Pkmn › Basic,{W},Common,$0.03
LOR,031,Poliwhirl,Pkmn › Stage 1,{W},Uncommon,$0.05
LOR,032,Politoed,Pkmn › Stage 2,{W},Rare,$0.09
LOR,033,Seel,Pkmn › Basic,{W},Common,$0.03
LOR,034,Dewgong,Pkmn › Stage 1,{W},Rare,$0.08
LOR,035,Horsea,Pkmn › Basic,{W},Common,$0.05
LOR,036,Seadra,Pkmn › Stage 1,{W},Uncommon,$0.05
LOR,037,Kingdra,Pkmn › Stage 2,{W},Rare Holo,$0.16
LOR,038,Luvdisc,Pkmn › Basic,{W},Common,$0.03
LOR,039,Shellos,Pkmn › Basic,{W},Common,$0.03
LOR,040,Finneon,Pkmn › Basic,{W},Common,$0.06
LOR,041,Lumineon,Pkmn › Stage 1,{W},Uncommon,$0.06
LOR,042,Snover,Pkmn › Basic,{W},Common,$0.02
LOR,043,Abomasnow,Pkmn › Stage 1,{W},Uncommon,$0.05
LOR,044,Hisuian Basculin,Pkmn › Basic,{W},Common,$0.04
LOR,045,Hisuian Basculegion,Pkmn › Stage 1,{W},Rare Holo,$0.35
LOR,046,Ducklett,Pkmn › Basic,{W},Common,$0.04
