Set,No.,Name,Stage,Type,Rarity,Sale Status
EW,001,Bulbasaur,Pkmn › Basic,{G},Common,$0.22
MEW,002,Ivysaur,Pkmn › Stage 1,{G},Uncommon,$0.08
MEW,003,Venusaur ex,Pkmn › Stage 2,{G},Double Rare,$1.58
MEW,004,Charmander,Pkmn › Basic,{R},Common,$0.10
MEW,005,Charmeleon,Pkmn › Stage 1,{R},Uncommon,$0.10
MEW,006,Charizard ex,Pkmn › Stage 2,{R},Double Rare,$4.26
MEW,007,Squirtle,Pkmn › Basic,{W},Common,$0.08
MEW,008,Wartortle,Pkmn › Stage 1,{W},Uncommon,$0.09
MEW,009,Blastoise ex,Pkmn › Stage 2,{W},Double Rare,$2.21
MEW,010,Caterpie,Pkmn › Basic,{G},Common,$0.16
MEW,011,Metapod,Pkmn › Stage 1,{G},Common,$0.14
MEW,012,Butterfree,Pkmn › Stage 2,{G},Uncommon,$0.06
MEW,013,Weedle,Pkmn › Basic,{G},Common,$0.08
MEW,014,Kakuna,Pkmn › Stage 1,{G},Common,$0.13
MEW,015,Beedrill,Pkmn › Stage 2,{G},Rare,$0.11
MEW,016,Pidgey,Pkmn › Basic,{C},Common,$0.19
MEW,017,Pidgeotto,Pkmn › Stage 1,{C},Common,$0.13
MEW,018,Pidgeot,Pkmn › Stage 2,{C},Uncommon,$0.07
MEW,019,Rattata,Pkmn › Basic,{C},Common,$0.04
MEW,020,Raticate,Pkmn › Stage 1,{C},Uncommon,$0.06
MEW,021,Spearow,Pkmn › Basic,{C},Common,$0.04
MEW,022,Fearow,Pkmn › Stage 1,{C},Uncommon,$0.06
MEW,023,Ekans,Pkmn › Basic,{D},Common,$0.17
MEW,024,Arbok ex,Pkmn › Stage 1,{D},Double Rare,$1.36
MEW,025,Pikachu,Pkmn › Basic,{L},Common,$0.08
MEW,026,Raichu,Pkmn › Stage 1,{L},Rare,$0.11
MEW,027,Sandshrew,Pkmn › Basic,{F},Common,$0.16
MEW,028,Sandslash,Pkmn › Stage 1,{F},Uncommon,$0.06
MEW,029,Nidoran Female,Pkmn › Basic,{D},Common,$0.13
MEW,030,Nidorina,Pkmn › Stage 1,{D},Uncommon,$0.07
MEW,031,Nidoqueen,Pkmn › Stage 2,{D},Uncommon,$0.06
MEW,032,Nidoran Male,Pkmn › Basic,{D},Common,$0.14
MEW,033,Nidorino,Pkmn › Stage 1,{D},Uncommon,$0.07
MEW,034,Nidoking,Pkmn › Stage 2,{D},Rare,$0.15
MEW,035,Clefairy,Pkmn › Basic,{P},Common,$0.04
MEW,036,Clefable,Pkmn › Stage 1,{P},Uncommon,$0.07
MEW,037,Vulpix,Pkmn › Basic,{R},Common,$0.04
MEW,038,Ninetales ex,Pkmn › Stage 1,{R},Double Rare,$0.95
