Set,No.,Name,Stage,Type,Rarity,Sale Status
BF,001,Oddish,Pkmn › Basic,{G},Common,$0.10
OBF,002,Gloom,Pkmn › Stage 1,{G},Common,$0.05
OBF,003,Bellossom,Pkmn › Stage 2,{G},Uncommon,$0.09
OBF,004,Scyther,Pkmn › Basic,{G},Common,$0.12
OBF,005,Shuckle,Pkmn › Basic,{G},Common,$0.07
OBF,006,Surskit,Pkmn › Basic,{G},Common,$0.06
OBF,007,Masquerain,Pkmn › Stage 1,{G},Uncommon,$0.03
OBF,008,Combee,Pkmn › Basic,{G},Common,$0.12
OBF,009,Foongus,Pkmn › Basic,{G},Common,$0.05
OBF,010,Amoonguss,Pkmn › Stage 1,{G},Uncommon,$0.06
OBF,011,Phantump,Pkmn › Basic,{G},Common,$0.03
OBF,012,Trevenant,Pkmn › Stage 1,{G},Uncommon,$0.05
OBF,013,Rowlet,Pkmn › Basic,{G},Common,$0.08
OBF,014,Dartrix,Pkmn › Stage 1,{G},Uncommon,$0.05
OBF,015,Decidueye ex,Pkmn › Stage 2,{G},Double Rare,$1.35
OBF,016,Bounsweet,Pkmn › Basic,{G},Common,$0.13
OBF,017,Steenee,Pkmn › Stage 1,{G},Common,$0.06
OBF,018,Tsareena,Pkmn › Stage 2,{G},Uncommon,$0.08
OBF,019,Smoliv,Pkmn › Basic,{G},Common,$0.03
OBF,020,Dolliv,Pkmn › Stage 1,{G},Common,$0.04
OBF,021,Arboliva,Pkmn › Stage 2,{G},Uncommon,sold out
OBF,022,Toedscruel ex,Pkmn › Stage 1,{G},Double Rare,$1.54
OBF,023,Capsakid,Pkmn › Basic,{G},Common,$0.03
OBF,024,Capsakid,Pkmn › Basic,{G},Common,$0.04
OBF,025,Scovillain,Pkmn › Stage 1,{G},Rare,$0.10
OBF,026,Charmander,Pkmn › Basic,{R},Common,$0.12
OBF,027,Charmeleon,Pkmn › Stage 1,{R},Uncommon,$0.11
OBF,028,Vulpix,Pkmn › Basic,{R},Common,$0.12
OBF,029,Ninetales,Pkmn › Stage 1,{R},Uncommon,$0.06
OBF,030,Entei,Pkmn › Basic,{R},Rare,$0.08
OBF,031,Numel,Pkmn › Basic,{R},Common,$0.06
OBF,032,Camerupt,Pkmn › Stage 1,{R},Uncommon,$0.04
OBF,033,Victini ex,Pkmn › Basic,{R},Double Rare,$0.70
OBF,034,Darumaka,Pkmn › Basic,{R},Common,$0.09
OBF,035,Darmanitan,Pkmn › Stage 1,{R},Uncommon,$0.05
OBF,036,Litwick,Pkmn › Basic,{R},Common,$0.03
OBF,037,Lampent,Pkmn › Stage 1,{R},Common,$0.04
OBF,038,Chandelure,Pkmn › Stage 2,{R},Uncommon,$0.08
OBF,039,Heatmor,Pkmn › Basic,{R},Common,$0.04
OBF,040,Larvesta,Pkmn › Basic,{R},Common,$0.04
OBF,041,Volcarona,Pkmn › Stage 1,{R},Uncommon,$0.04
OBF,042,Eiscue ex,Pkmn › Basic,{R},Double Rare,$0.92
OBF,043,Charcadet,Pkmn › Basic,{R},Common,$0.03
OBF,044,Armarouge,Pkmn › Stage 1,{R},Uncommon,$0.04
OBF,045,Lapras,Pkmn › Basic,{W},Uncommon,$0.06
OBF,046,Carvanha,Pkmn › Basic,{W},Common,$0.05
OBF,047,Sharpedo,Pkmn › Stage 1,{W},Uncommon,$0.03
OBF,048,Buizel,Pkmn › Basic,{W},Common,$0.03
OBF,049,Floatzel,Pkmn › Stage 1,{W},Uncommon,$0.04
OBF,050,Tympole,Pkmn › Basic,{W},Common,$0.09
OBF,051,Palpitoad,Pkmn › Stage 1,{W},Common,$0.06
OBF,052,Seismitoad,Pkmn › Stage 2,{W},Uncommon,$0.07
OBF,053,Cubchoo,Pkmn › Basic,{W},Common,$0.08
OBF,054,Beartic,Pkmn › Stage 1,{W},Uncommon,$0.15
OBF,055,Cryogonal,Pkmn › Basic,{W},Common,$0.07
OBF,056,Froakie,Pkmn › Basic,{W},Common,$0.05
OBF,057,Frogadier,Pkmn › Stage 1,{W},Uncommon,$0.05
OBF,058,Wiglett,Pkmn › Basic,{W},Common,$0.06
OBF,059,Wugtrio,Pkmn › Stage 1,{W},Uncommon,$0.35
