Set,No.,Name,Stage,Type,Rarity,Sale Status
,,,,,,
PAF,1,Pineco,Pkmn › Basic,{G},Common,$0.06
,,,,,,
PAF,2,Forretress ex,Pkmn › Stage 1,{G},Double Rare,$0.28
,,,,,,
PAF,3,Maractus,Pkmn › Basic,{G},Common,$0.06
,,,,,,
PAF,4,Toedscool,Pkmn › Basic,{G},Common,sold out
,,,,,,
PAF,5,Toedscruel ex,Pkmn › Stage 1,{G},Double Rare,$0.28
,,,,,,
PAF,6,Espathra ex,Pkmn › Stage 1,{G},Double Rare,$0.41
,,,,,,
PAF,7,Charmander,Pkmn › Basic,{R},Common,$0.20
,,,,,,
PAF,8,Charmeleon,Pkmn › Stage 1,{R},Uncommon,$0.13
,,,,,,
PAF,9,Magmar,Pkmn › Basic,{R},Common,$0.03
,,,,,,
PAF,10,Magmortar,Pkmn › Stage 1,{R},Rare,$0.06
,,,,,,
PAF,11,Numel,Pkmn › Basic,{R},Common,$0.03
,,,,,,
PAF,12,Camerupt,Pkmn › Stage 1,{R},Uncommon,$0.04
,,,,,,
PAF,13,Heat Rotom,Pkmn › Basic,{R},Rare,$0.14
,,,,,,
PAF,14,Charcadet,Pkmn › Basic,{R},Common,$0.04
,,,,,,
PAF,15,Armarouge,Pkmn › Stage 1,{R},Rare,$0.06
,,,,,,
PAF,16,Lapras,Pkmn › Basic,{W},Common,$0.08
,,,,,,
PAF,17,Frigibax,Pkmn › Basic,{W},Common,$0.17
,,,,,,
PAF,18,Pikachu,Pkmn › Basic,{L},Common,$0.07
,,,,,,
PAF,19,Raichu,Pkmn › Stage 1,{L},Rare,$0.09
,,,,,,
PAF,20,Chinchou,Pkmn › Basic,{L},Common,$0.02
,,,,,,
PAF,21,Lanturn,Pkmn › Stage 1,{L},Uncommon,$0.03
,,,,,,
PAF,22,Kilowattrel,Pkmn › Stage 1,{L},Uncommon,$0.02
,,,,,,
PAF,23,Exeggcute,Pkmn › Basic,{P},Common,$0.02
,,,,,,
PAF,24,Exeggutor,Pkmn › Stage 1,{P},Rare,$0.04
,,,,,,
PAF,25,Natu,Pkmn › Basic,{P},Common,$0.05
,,,,,,
PAF,26,Xatu,Pkmn › Stage 1,{P},Rare,$0.07
,,,,,,
PAF,27,Ralts,Pkmn › Basic,{P},Common,$0.04
,,,,,,
PAF,28,Kirlia,Pkmn › Stage 1,{P},Uncommon,$0.03
,,,,,,
PAF,29,Gardevoir ex,Pkmn › Stage 2,{P},Double Rare,$0.41
,,,,,,
