Set,No.,Name,Stage,Type,Rarity,Sale Status
AR,001,Surskit,Pkmn › Basic,{G},Common,$0.04
PAR,002,Masquerain,Pkmn › Stage 1,{G},Uncommon,$0.02
PAR,003,Froslass ex,Pkmn › Stage 1,{G},Double Rare,$0.54
PAR,004,Pansage,Pkmn › Basic,{G},Common,$0.05
PAR,005,Simisage,Pkmn › Stage 1,{G},Uncommon,$0.05
PAR,006,Dwebble,Pkmn › Basic,{G},Common,$0.03
PAR,007,Crustle,Pkmn › Stage 1,{G},Common,$0.04
PAR,008,Bounsweet,Pkmn › Basic,{G},Common,$0.04
PAR,009,Steenee,Pkmn › Stage 1,{G},Uncommon,$0.03
PAR,010,Blipbug,Pkmn › Basic,{G},Common,$0.04
PAR,011,Dottler,Pkmn › Stage 1,{G},Common,$0.04
PAR,012,Orbeetle,Pkmn › Stage 2,{G},Uncommon,$0.04
PAR,013,Nymble,Pkmn › Basic,{G},Common,$0.03
PAR,014,Nymble,Pkmn › Basic,{G},Common,$0.03
PAR,015,Toedscool,Pkmn › Basic,{G},Common,$0.08
PAR,016,Toedscool,Pkmn › Basic,{G},Common,$0.05
PAR,017,Toedscruel,Pkmn › Stage 1,{G},Uncommon,$0.06
PAR,018,Wo-Chien,Pkmn › Basic,{G},Rare,$0.19
PAR,019,Magby,Pkmn › Basic,{R},Common,$0.03
PAR,020,Pansear,Pkmn › Basic,{R},Common,$0.05
PAR,021,Simisear,Pkmn › Stage 1,{R},Uncommon,$0.05
PAR,022,Volcanion,Pkmn › Basic,{R},Rare,$0.07
PAR,023,Fuecoco,Pkmn › Basic,{R},Common,$0.07
PAR,024,Crocalor,Pkmn › Stage 1,{R},Uncommon,$0.05
PAR,025,Charcadet,Pkmn › Basic,{R},Common,$0.04
PAR,026,Charcadet,Pkmn › Basic,{R},Common,$0.05
PAR,027,Armarouge ex,Pkmn › Stage 1,{R},Double Rare,$0.53
PAR,028,Iron Moth,Pkmn › Basic,{R},Rare,$0.14
PAR,029,Chi-Yu,Pkmn › Basic,{R},Rare,$0.12
PAR,030,Horsea,Pkmn › Basic,{W},Common,$0.04
PAR,031,Seadra,Pkmn › Stage 1,{W},Common,$0.05
PAR,032,Kingdra,Pkmn › Stage 2,{W},Rare,$0.08
PAR,033,Remoraid,Pkmn › Basic,{W},Common,$0.07
PAR,034,Octillery,Pkmn › Stage 1,{W},Common,$0.04
PAR,035,Feebas,Pkmn › Basic,{W},Common,$0.12
PAR,036,Milotic,Pkmn › Stage 1,{W},Rare,$0.09
PAR,037,Snorunt,Pkmn › Basic,{W},Common,$0.03
PAR,038,Garchomp ex,Pkmn › Stage 2,{W},Double Rare,$1.31
