Set,No.,Name,Stage,Type,Rarity,Sale Status
VI,001,Pineco,Pkmn › Basic,{G},Common,sold out
SVI,002,Heracross,Pkmn › Basic,{G},Uncommon,sold out
SVI,003,Shroomish,Pkmn › Basic,{G},Common,sold out
SVI,004,Breloom,Pkmn › Stage 1,{G},Uncommon,sold out
SVI,005,Cacnea,Pkmn › Basic,{G},Common,sold out
SVI,006,Cacturne,Pkmn › Stage 1,{G},Uncommon,sold out
SVI,007,Tropius,Pkmn › Basic,{G},Common,sold out
SVI,008,Scatterbug,Pkmn › Basic,{G},Common,sold out
SVI,009,Spewpa,Pkmn › Stage 1,{G},Common,sold out
SVI,010,Vivillon,Pkmn › Stage 2,{G},Uncommon,sold out
SVI,011,Skiddo,Pkmn › Basic,{G},Common,sold out
SVI,012,Gogoat,Pkmn › Stage 1,{G},Common,sold out
SVI,013,Sprigatito,Pkmn › Basic,{G},Common,sold out
SVI,014,Floragato,Pkmn › Stage 1,{G},Uncommon,sold out
SVI,015,Meowscarada,Pkmn › Stage 2,{G},Rare,sold out
SVI,016,Tarountula,Pkmn › Basic,{G},Common,sold out
SVI,017,Tarountula,Pkmn › Basic,{G},Common,sold out
SVI,018,Tarountula,Pkmn › Basic,{G},Common,sold out
SVI,019,Spidops ex,Pkmn › Stage 1,{G},Double Rare,sold out
SVI,020,Smoliv,Pkmn › Basic,{G},Common,sold out
SVI,021,Smoliv,Pkmn › Basic,{G},Common,sold out
SVI,022,Dolliv,Pkmn › Stage 1,{G},Common,sold out
SVI,023,Arboliva,Pkmn › Stage 2,{G},Rare,sold out
SVI,024,Toedscool,Pkmn › Basic,{G},Common,sold out
SVI,025,Toedscool,Pkmn › Basic,{G},Common,sold out
SVI,026,Toedscruel,Pkmn › Stage 1,{G},Uncommon,sold out
SVI,027,Capsakid,Pkmn › Basic,{G},Common,sold out
SVI,028,Capsakid,Pkmn › Basic,{G},Common,sold out
SVI,029,Scovillain,Pkmn › Stage 1,{G},Uncommon,sold out
SVI,030,Growlithe,Pkmn › Basic,{R},Common,sold out
SVI,031,Growlithe,Pkmn › Basic,{R},Common,sold out
SVI,032,Arcanine ex,Pkmn › Stage 1,{R},Double Rare,sold out
SVI,033,Houndour,Pkmn › Basic,{R},Common,sold out
SVI,034,Houndoom,Pkmn › Stage 1,{R},Common,sold out
SVI,035,Torkoal,Pkmn › Basic,{R},Uncommon,sold out
SVI,036,Fuecoco,Pkmn › Basic,{R},Common,sold out
SVI,037,Crocalor,Pkmn › Stage 1,{R},Uncommon,sold out
SVI,038,Skeledirge,Pkmn › Stage 2,{R},Rare,sold out
SVI,039,Charcadet,Pkmn › Basic,{R},Common,sold out
SVI,040,Charcadet,Pkmn › Basic,{R},Common,sold out
SVI,041,Armarouge,Pkmn › Stage 1,{R},Rare,sold out
SVI,042,Slowpoke,Pkmn › Basic,{W},Common,sold out
SVI,043,Slowbro,Pkmn › Stage 1,{W},Rare,sold out
SVI,044,Magikarp,Pkmn › Basic,{W},Common,sold out
SVI,045,Gyarados ex,Pkmn › Stage 1,{W},Double Rare,sold out
SVI,046,Buizel,Pkmn › Basic,{W},Common,sold out
SVI,047,Floatzel,Pkmn › Stage 1,{W},Uncommon,sold out
SVI,048,Alomomola,Pkmn › Basic,{W},Common,sold out
SVI,049,Clauncher,Pkmn › Basic,{W},Common,sold out
SVI,050,Clawitzer,Pkmn › Stage 1,{W},Common,sold out
SVI,051,Bruxish,Pkmn › Basic,{W},Common,sold out
SVI,052,Quaxly,Pkmn › Basic,{W},Common,sold out
SVI,053,Quaxwell,Pkmn › Stage 1,{W},Uncommon,sold out
SVI,054,Quaquaval,Pkmn › Stage 2,{W},Rare,sold out
SVI,055,Wiglett,Pkmn › Basic,{W},Common,sold out
SVI,056,Wiglett,Pkmn › Basic,{W},Common,sold out
SVI,057,Wugtrio,Pkmn › Stage 1,{W},Uncommon,sold out
SVI,058,Cetoddle,Pkmn › Basic,{W},Common,sold out
SVI,059,Cetoddle,Pkmn › Basic,{W},Common,sold out
SVI,060,Cetitan,Pkmn › Stage 1,{W},Uncommon,sold out
SVI,061,Dondozo,Pkmn › Basic,{W},Rare,sold out
SVI,062,Tatsugiri,Pkmn › Basic,{W},Uncommon,sold out
SVI,063,Magnemite,Pkmn › Basic,{L},Common,sold out
SVI,064,Magneton,Pkmn › Stage 1,{L},Common,sold out
SVI,065,Magnezone ex,Pkmn › Stage 2,{L},Double Rare,sold out
SVI,066,Mareep,Pkmn › Basic,{L},Common,sold out
SVI,067,Flaaffy,Pkmn › Stage 1,{L},Uncommon,sold out
SVI,068,Pachirisu,Pkmn › Basic,{L},Uncommon,sold out
SVI,069,Rotom,Pkmn › Basic,{L},Common,sold out
SVI,070,Rotom,Pkmn › Basic,{L},Common,sold out
SVI,071,Toxel,Pkmn › Basic,{L},Common,sold out
SVI,072,Toxtricity,Pkmn › Stage 1,{L},Uncommon,sold out
SVI,073,Pawmi,Pkmn › Basic,{L},Common,sold out
SVI,074,Pawmi,Pkmn › Basic,{L},Common,sold out
SVI,075,Pawmo,Pkmn › Stage 1,{L},Common,sold out
SVI,076,Pawmot,Pkmn › Stage 2,{L},Rare,sold out
SVI,077,Wattrel,Pkmn › Basic,{L},Common,sold out
SVI,078,Wattrel,Pkmn › Basic,{L},Common,sold out
SVI,079,Kilowattrel,Pkmn › Stage 1,{L},Uncommon,sold out
SVI,080,Miraidon,Pkmn › Basic,{L},Rare,sold out
SVI,081,Miraidon ex,Pkmn › Basic,{L},Double Rare,sold out
SVI,082,Drowzee,Pkmn › Basic,{P},Common,sold out
SVI,083,Hypno,Pkmn › Stage 1,{P},Uncommon,sold out
SVI,084,Ralts,Pkmn › Basic,{P},Common,sold out
SVI,085,Kirlia,Pkmn › Stage 1,{P},Common,sold out
SVI,086,Gardevoir ex,Pkmn › Stage 2,{P},Double Rare,sold out
SVI,087,Shuppet,Pkmn › Basic,{P},Common,sold out
SVI,088,Banette ex,Pkmn › Stage 1,{P},Double Rare,sold out
SVI,089,Drifloon,Pkmn › Basic,{P},Common,sold out
SVI,090,Drifblim,Pkmn › Stage 1,{P},Uncommon,sold out
SVI,091,Flabébé,Pkmn › Basic,{P},Common,sold out
SVI,092,Floette,Pkmn › Stage 1,{P},Common,sold out
SVI,093,Florges,Pkmn › Stage 2,{P},Uncommon,sold out
SVI,094,Dedenne,Pkmn › Basic,{P},Common,sold out
SVI,095,Dedenne,Pkmn › Basic,{P},Common,sold out
SVI,096,Klefki,Pkmn › Basic,{P},Rare,sold out
SVI,097,Fidough,Pkmn › Basic,{P},Common,sold out
SVI,098,Fidough,Pkmn › Basic,{P},Common,sold out
SVI,099,Dachsbun,Pkmn › Stage 1,{P},Uncommon,sold out
SVI,100,Flittle,Pkmn › Basic,{P},Common,sold out
SVI,101,Flittle,Pkmn › Basic,{P},Common,sold out
SVI,102,Flittle,Pkmn › Basic,{P},Common,sold out
SVI,103,Espathra,Pkmn › Stage 1,{P},Uncommon,sold out
SVI,104,Greavard,Pkmn › Basic,{P},Common,sold out
SVI,105,Greavard,Pkmn › Basic,{P},Common,sold out
SVI,106,Houndstone,Pkmn › Stage 1,{P},Rare,sold out
SVI,107,Mankey,Pkmn › Basic,{F},Common,sold out
SVI,108,Primeape,Pkmn › Stage 1,{F},Common,sold out
SVI,109,Annihilape,Pkmn › Stage 2,{F},Rare,sold out
SVI,110,Meditite,Pkmn › Basic,{F},Common,sold out
SVI,111,Medicham,Pkmn › Stage 1,{F},Uncommon,sold out
SVI,112,Riolu,Pkmn › Basic,{F},Common,sold out
SVI,113,Riolu,Pkmn › Basic,{F},Common,sold out
SVI,114,Lucario,Pkmn › Stage 1,{F},Uncommon,sold out
SVI,115,Sandile,Pkmn › Basic,{F},Common,sold out
SVI,116,Krokorok,Pkmn › Stage 1,{F},Common,sold out
SVI,117,Krookodile,Pkmn › Stage 2,{F},Uncommon,sold out
SVI,118,Hawlucha,Pkmn › Basic,{F},Rare,sold out
SVI,119,Silicobra,Pkmn › Basic,{F},Common,sold out
SVI,120,Sandaconda,Pkmn › Stage 1,{F},Uncommon,sold out
SVI,121,Stonjourner,Pkmn › Basic,{F},Uncommon,sold out
SVI,122,Klawf,Pkmn › Basic,{F},Rare,sold out
SVI,123,Great Tusk ex,Pkmn › Basic,{F},Double Rare,sold out
SVI,124,Koraidon,Pkmn › Basic,{F},Rare,sold out
SVI,125,Koraidon ex,Pkmn › Basic,{F},Double Rare,sold out
SVI,126,Grimer,Pkmn › Basic,{D},Common,sold out
SVI,127,Muk,Pkmn › Stage 1,{D},Uncommon,sold out
SVI,128,Seviper,Pkmn › Basic,{D},Common,sold out
SVI,129,Spiritomb,Pkmn › Basic,{D},Uncommon,sold out
SVI,130,Croagunk,Pkmn › Basic,{D},Common,sold out
SVI,131,Toxicroak ex,Pkmn › Stage 1,{D},Double Rare,sold out
SVI,132,Pawniard,Pkmn › Basic,{D},Common,sold out
SVI,133,Bisharp,Pkmn › Stage 1,{D},Common,sold out
SVI,134,Kingambit,Pkmn › Stage 2,{D},Rare,sold out
SVI,135,Maschiff,Pkmn › Basic,{D},Common,sold out
SVI,136,Maschiff,Pkmn › Basic,{D},Common,sold out
SVI,137,Mabosstiff,Pkmn › Stage 1,{D},Uncommon,sold out
SVI,138,Bombirdier,Pkmn › Basic,{D},Uncommon,sold out
SVI,139,Forretress,Pkmn › Stage 1,{M},Uncommon,sold out
SVI,140,Varoom,Pkmn › Basic,{M},Common,sold out
SVI,141,Varoom,Pkmn › Basic,{M},Common,sold out
SVI,142,Revavroom,Pkmn › Stage 1,{M},Rare,sold out
SVI,143,Iron Treads ex,Pkmn › Basic,{M},Double Rare,sold out
SVI,144,Chansey,Pkmn › Basic,{C},Common,sold out
SVI,145,Blissey,Pkmn › Stage 1,{C},Uncommon,sold out
SVI,146,Zangoose,Pkmn › Basic,{C},Common,sold out
SVI,147,Zangoose,Pkmn › Basic,{C},Uncommon,sold out
SVI,148,Starly,Pkmn › Basic,{C},Common,sold out
SVI,149,Staravia,Pkmn › Stage 1,{C},Common,$0.10
SVI,150,Staraptor,Pkmn › Stage 2,{C},Uncommon,$0.06
SVI,151,Skwovet,Pkmn › Basic,{C},Common,$0.21
SVI,152,Greedent,Pkmn › Stage 1,{C},Uncommon,$0.04
SVI,153,Indeedee,Pkmn › Basic,{C},Rare,$0.08
SVI,154,Lechonk,Pkmn › Basic,{C},Common,$0.05
SVI,155,Lechonk,Pkmn › Basic,{C},Common,$0.05
SVI,156,Lechonk,Pkmn › Basic,{C},Common,$0.04
SVI,157,Oinkologne,Pkmn › Stage 1,{C},Uncommon,$0.06
SVI,158,Oinkologne ex,Pkmn › Stage 1,{C},Double Rare,$0.42
SVI,159,Tandemaus,Pkmn › Basic,{C},Common,$0.06
SVI,160,Tandemaus,Pkmn › Basic,{C},Common,$0.06
SVI,161,Maushold,Pkmn › Stage 1,{C},Uncommon,$0.06
SVI,162,Squawkabilly,Pkmn › Basic,{C},Common,$0.05
SVI,163,Cyclizar,Pkmn › Basic,{C},Uncommon,$0.05
SVI,164,Cyclizar,Pkmn › Basic,{C},Rare,$0.19
SVI,165,Flamigo,Pkmn › Basic,{C},Uncommon,$0.05
SVI,166,Arven,Trainer › Supporter,,Uncommon,$0.41
