Set,No.,Name,Stage,Type,Rarity,Sale Status
HF,001,Yanma,Pkmn › Basic,{G},Common,$0.02
SHF,002,Yanmega,Pkmn › Stage 1,{G},Rare,$0.07
SHF,003,Celebi,Pkmn › Basic,{G},Rare,$0.12
SHF,004,Cacnea,Pkmn › Basic,{G},Common,$0.09
SHF,005,Tropius,Pkmn › Basic,{G},Uncommon,$0.03
SHF,006,Rowlet,Pkmn › Basic,{G},Common,$0.10
SHF,007,Dartrix,Pkmn › Stage 1,{G},Uncommon,$0.03
SHF,008,Decidueye,Pkmn › Stage 2,{G},Rare Holo,$0.14
SHF,009,Dhelmise V,Pkmn › Basic,{G},Holo Rare V,$0.50
SHF,010,Dhelmise VMAX,Pkmn › VMAX,{G},Holo Rare VMAX,$1.22
SHF,011,Grookey,Pkmn › Basic,{G},Common,$0.04
SHF,012,Thwackey,Pkmn › Stage 1,{G},Uncommon,$0.04
SHF,013,Rillaboom,Pkmn › Stage 2,{G},Rare Holo,$0.14
SHF,014,Gossifleur,Pkmn › Basic,{G},Common,$0.03
SHF,015,Eldegoss,Pkmn › Stage 1,{G},Uncommon,$0.03
SHF,016,Zarude,Pkmn › Basic,{G},Rare,$0.05
SHF,017,Reshiram,Pkmn › Basic,{R},Amazing Rare,$0.46
SHF,018,Cinderace V,Pkmn › Basic,{R},Holo Rare V,$0.60
SHF,019,Cinderace VMAX,Pkmn › VMAX,{R},Holo Rare VMAX,$1.26
SHF,020,Horsea,Pkmn › Basic,{W},Common,$0.03
SHF,021,Kyogre,Pkmn › Basic,{W},Amazing Rare,$0.59
SHF,022,Buizel,Pkmn › Basic,{W},Common,$0.03
SHF,023,Floatzel,Pkmn › Stage 1,{W},Uncommon,$0.02
SHF,024,Manaphy,Pkmn › Basic,{W},Rare,$0.09
SHF,025,Volcanion,Pkmn › Basic,{W},Rare,$0.06
SHF,026,Chewtle,Pkmn › Basic,{W},Common,$0.04
SHF,027,Drednaw,Pkmn › Stage 1,{W},Rare,$0.07
SHF,028,Cramorant,Pkmn › Basic,{W},Uncommon,$0.03
SHF,029,Snom,Pkmn › Basic,{W},Common,$0.07
SHF,030,Frosmoth,Pkmn › Stage 1,{W},Rare Holo,$0.15
SHF,031,Shinx,Pkmn › Basic,{L},Common,$0.03
SHF,032,Luxio,Pkmn › Stage 1,{L},Uncommon,$0.09
SHF,033,Luxray,Pkmn › Stage 2,{L},Rare Holo,$0.11
SHF,034,Rotom,Pkmn › Basic,{L},Uncommon,$0.04
SHF,035,Morpeko,Pkmn › Basic,{L},Common,$0.07
SHF,036,Morpeko,Pkmn › Basic,{L},Common,$0.05
SHF,037,Morpeko V,Pkmn › Basic,{L},Holo Rare V,$0.48
SHF,038,Morpeko VMAX,Pkmn › VMAX,{L},Holo Rare VMAX,$0.99
SHF,039,Indeedee V,Pkmn › Basic,{P},Holo Rare V,$0.46
SHF,040,Trapinch,Pkmn › Basic,{F},Common,$0.09
SHF,041,Koffing,Pkmn › Basic,{D},Common,$0.11
SHF,042,Galarian Weezing,Pkmn › Stage 1,{D},Rare Holo,$0.21
SHF,043,Spinarak,Pkmn › Basic,{D},Common,$0.03
SHF,044,Crobat V,Pkmn › Basic,{D},Holo Rare V,$0.60
SHF,045,Crobat VMAX,Pkmn › VMAX,{D},Holo Rare VMAX,$0.99
SHF,046,Yveltal,Pkmn › Basic,{D},Amazing Rare,$0.44
SHF,047,Nickit,Pkmn › Basic,{D},Common,$0.03
SHF,048,Thievul,Pkmn › Stage 1,{D},Rare Holo,$0.18
SHF,049,Cufant,Pkmn › Basic,{M},Common,$0.04
SHF,050,Ditto V,Pkmn › Basic,{C},Holo Rare V,$0.81
SHF,051,Ditto VMAX,Pkmn › VMAX,{C},Holo Rare VMAX,$1.41
