Set,No.,Name,Stage,Type,Rarity,Sale Status
IT,001,Venonat,Pkmn › Basic,{G},Common,$0.04
SIT,002,Venomoth,Pkmn › Stage 1,{G},Uncommon,$0.04
SIT,003,Spinarak,Pkmn › Basic,{G},Common,$0.03
SIT,004,Ariados,Pkmn › Stage 1,{G},Rare Holo,$0.10
SIT,005,Sunkern,Pkmn › Basic,{G},Common,$0.04
SIT,006,Sunflora,Pkmn › Stage 1,{G},Uncommon,$0.08
SIT,007,Serperior V,Pkmn › Basic,{G},Holo Rare V,$0.60
SIT,008,Serperior VSTAR,Pkmn › VSTAR,{G},Holo Rare VSTAR,$0.63
SIT,009,Petilil,Pkmn › Basic,{G},Common,$0.03
SIT,010,Hisuian Lilligant,Pkmn › Stage 1,{G},Rare,$0.07
SIT,011,Foongus,Pkmn › Basic,{G},Common,$0.03
SIT,012,Amoonguss,Pkmn › Stage 1,{G},Rare,$0.10
SIT,013,Durant,Pkmn › Basic,{G},Common,$0.04
SIT,014,Virizion,Pkmn › Basic,{G},Rare,$0.09
SIT,015,Chesnaught V,Pkmn › Basic,{G},Holo Rare V,$0.43
SIT,016,Radiant Tsareena,Pkmn › Basic,{G},Radiant Rare,$0.34
SIT,017,Vulpix,Pkmn › Basic,{R},Common,$0.07
SIT,018,Ninetales,Pkmn › Stage 1,{R},Uncommon,$0.08
SIT,019,Growlithe,Pkmn › Basic,{R},Common,$0.05
SIT,020,Arcanine,Pkmn › Stage 1,{R},Rare,$0.10
SIT,021,Ponyta,Pkmn › Basic,{R},Common,$0.04
SIT,022,Rapidash,Pkmn › Stage 1,{R},Rare Holo,$0.15
SIT,023,Victini,Pkmn › Basic,{R},Rare,$0.07
SIT,024,Reshiram V,Pkmn › Basic,{R},Holo Rare V,$0.53
SIT,025,Fennekin,Pkmn › Basic,{R},Common,$0.03
SIT,026,Braixen,Pkmn › Stage 1,{R},Uncommon,$0.05
SIT,027,Delphox,Pkmn › Stage 2,{R},Rare,$0.09
SIT,028,Fletchinder,Pkmn › Stage 1,{R},Uncommon,$0.04
SIT,029,Talonflame,Pkmn › Stage 2,{R},Rare,$0.07
SIT,030,Litten,Pkmn › Basic,{R},Common,$0.04
SIT,031,Torracat,Pkmn › Stage 1,{R},Uncommon,$0.05
SIT,032,Incineroar,Pkmn › Stage 2,{R},Rare,$0.11
SIT,033,Alolan Vulpix V,Pkmn › Basic,{W},Holo Rare V,$0.73
SIT,034,Alolan Vulpix VSTAR,Pkmn › VSTAR,{W},Holo Rare VSTAR,$2.04
SIT,035,Omastar V,Pkmn › Basic,{W},Holo Rare V,$0.45
