Set,No.,Name,Stage,Type,Rarity,Sale Status
EF,001,Scyther,Pkmn › Basic,{G},Common,not sold
TEF,002,Pineco,Pkmn › Basic,{G},Common,not sold
TEF,003,Seedot,Pkmn › Basic,{G},Common,not sold
TEF,004,Nuzleaf,Pkmn › Stage 1,{G},Common,not sold
TEF,005,Shiftry,Pkmn › Stage 2,{G},Uncommon,not sold
TEF,006,Shroomish,Pkmn › Basic,{G},Common,not sold
TEF,007,Breloom,Pkmn › Stage 1,{G},Common,not sold
TEF,008,Roselia,Pkmn › Basic,{G},Common,not sold
TEF,009,Roserade,Pkmn › Stage 1,{G},Uncommon,not sold
TEF,010,Turtwig,Pkmn › Basic,{G},Common,not sold
TEF,011,Grotle,Pkmn › Stage 1,{G},Common,not sold
TEF,012,Torterra ex,Pkmn › Stage 2,{G},Double Rare,not sold
TEF,013,Shaymin,Pkmn › Basic,{G},Uncommon,not sold
TEF,014,Cottonee,Pkmn › Basic,{G},Common,not sold
TEF,015,Whimsicott,Pkmn › Stage 1,{G},Rare,not sold
TEF,016,Deerling,Pkmn › Basic,{G},Common,not sold
TEF,017,Sawsbuck,Pkmn › Stage 1,{G},Uncommon,not sold
TEF,018,Grubbin,Pkmn › Basic,{G},Common,not sold
TEF,019,Dhelmise,Pkmn › Basic,{G},Uncommon,not sold
TEF,020,Bramblin,Pkmn › Basic,{G},Common,not sold
TEF,021,Brambleghast,Pkmn › Stage 1,{G},Rare,not sold
TEF,022,Scovillain ex,Pkmn › Stage 1,{G},Double Rare,not sold
TEF,023,Rellor,Pkmn › Basic,{G},Common,not sold
TEF,024,Rabsca,Pkmn › Stage 1,{G},Uncommon,not sold
TEF,025,Iron Leaves ex,Pkmn › Basic,{G},Double Rare,not sold
TEF,026,Ponyta,Pkmn › Basic,{R},Common,not sold
TEF,027,Rapidash,Pkmn › Stage 1,{R},Uncommon,not sold
TEF,028,Slugma,Pkmn › Basic,{R},Common,not sold
TEF,029,Magcargo,Pkmn › Stage 1,{R},Rare,not sold
TEF,030,Victini,Pkmn › Basic,{R},Common,not sold
TEF,031,Heatmor,Pkmn › Basic,{R},Common,not sold
TEF,032,Litten,Pkmn › Basic,{R},Common,not sold
TEF,033,Torracat,Pkmn › Stage 1,{R},Common,not sold
TEF,034,Incineroar ex,Pkmn › Stage 2,{R},Double Rare,not sold
TEF,035,Turtonator,Pkmn › Basic,{R},Common,not sold
TEF,036,Sizzlipede,Pkmn › Basic,{R},Common,not sold
TEF,037,Centiskorch,Pkmn › Stage 1,{R},Uncommon,not sold
TEF,038,Gouging Fire ex,Pkmn › Basic,{R},Double Rare,not sold
TEF,039,Totodile,Pkmn › Basic,{W},Common,not sold
TEF,040,Croconaw,Pkmn › Stage 1,{W},Common,not sold
TEF,041,Feraligatr,Pkmn › Stage 2,{W},Rare,not sold
TEF,042,Carvanha,Pkmn › Basic,{W},Common,not sold
TEF,043,Sharpedo,Pkmn › Stage 1,{W},Uncommon,not sold
TEF,044,Keldeo,Pkmn › Basic,{W},Uncommon,not sold
TEF,045,Snom,Pkmn › Basic,{W},Common,not sold
TEF,046,Frosmoth,Pkmn › Stage 1,{W},Common,not sold
TEF,047,Wiglett,Pkmn › Basic,{W},Common,not sold
TEF,048,Finizen,Pkmn › Basic,{W},Common,not sold
TEF,049,Palafin,Pkmn › Stage 1,{W},Uncommon,not sold
TEF,050,Walking Wake ex,Pkmn › Basic,{W},Double Rare,not sold
TEF,051,Pikachu,Pkmn › Basic,{L},Common,not sold
TEF,052,Raichu,Pkmn › Stage 1,{L},Common,not sold
TEF,053,Electabuzz,Pkmn › Basic,{L},Common,not sold
TEF,054,Electivire,Pkmn › Stage 1,{L},Uncommon,not sold
TEF,055,Charjabug,Pkmn › Stage 1,{L},Common,not sold
TEF,056,Vikavolt,Pkmn › Stage 2,{L},Uncommon,not sold
